,Control,Treatment,Fold Change,Log2 Fold Change
Jdp2(+),0.022071041143711098,0.06386879685633938,2.893782692011251,1.5329565870635316
Nr1h3(+),0.0017674788776323796,0.004557974724601637,2.5788001103058478,1.3666999503094701
Ddit3(+),0.030974979755473562,0.07906570233440204,2.552566715412636,1.351948668737602
Ahr(+),0.00976504742267705,0.020603689065775175,2.1099425506043015,1.0772037178487548
Atf3(+),0.04746522941854807,0.057773132651671846,1.2171674583562793,0.28352766823264675
Klf4(+),0.021300950978354376,0.02083928510365341,0.9783265134420477,-0.03161205434422487
Tcf7(+),0.026268364732840985,0.024218914147512656,0.9219802752789524,-0.11719220872476216
Elf5(+),0.0007617744914579167,0.0006701219989244538,0.8796855321867572,-0.18494021004132916
Ezh2(+),0.0019093348427399067,0.0015027923874773943,0.7870763963647562,-0.34542441937391805
Mafb(+),0.04694863294542452,0.03470229612143116,0.7391545598733593,-0.4360520262562034
Fosb(+),0.03793947098276191,0.02243800617495846,0.591415894680064,-0.7577550775570302
Irf7(+),0.010795508007020619,0.006077301955983584,0.5629472880786477,-0.8289282539100714
Egr1(+),0.045753963252578495,0.02473147241605151,0.5405318066005518,-0.8875485816919467
Irf8(+),0.04335024779192526,0.023135253902884755,0.5336821605710429,-0.9059473078179026
Cebpa(+),0.039197797449602834,0.019973372070163288,0.5095534282466594,-0.972694669545763
Sox4(+),0.0012485168022964071,0.0005527683362261299,0.4427400057487561,-1.175468354413722
Egr2(+),0.004125586829658163,0.001794440922050471,0.4349541037775599,-1.2010649186290785
Lef1(+),0.05609023473426752,0.02271201541953065,0.4049192435569372,-1.3042938869817806
Bhlhe41(+),0.01038854985170315,0.003954605282008718,0.3806696159195291,-1.3933886726403746
Atf5(+),0.00018660151355469746,6.307001624898929e-05,0.33799305829586385,-1.5649344781579309
Tfec(+),0.014763445812084202,0.00461142586242232,0.3123543054323922,-1.678744679012582
Nkx2-1(+),0.0015166824477786,0.0003904263598408592,0.25742129501972866,-1.957796690324145
Tcf7l2(+),0.022320028570902022,0.005667855328985248,0.2539358456007654,-1.9774640345994812
Mecom(+),0.0017185093969227046,0.0004235607166573132,0.2464698286874507,-2.0205170432825437
Mef2c(+),0.09756168790763114,0.023738968387148375,0.2433226494566577,-2.039057476469086
Nfix(+),0.005026608932007922,0.0010816752737513795,0.2151898602780891,-2.2163179950186556
Gata6(+),0.0015897435480178878,0.0003349230646517755,0.21067741716540495,-2.2468924171325932
Dbp(+),0.001553337766756169,0.0003263734989705607,0.2101110949308376,-2.2507757492539566
Pparg(+),0.018575971238672277,0.0037935343640365196,0.20421728238569686,-2.29182313191801
Nfia(+),0.0015132584777994076,0.0003063898024925961,0.20247023690106833,-2.3042182472905686
Ets1(+),0.06758780457744422,0.013282945525603955,0.19652873190138823,-2.347187849368018
Sox2(+),0.003911722919228666,0.0007199703447408241,0.18405453545845515,-2.441794793941258
Tcf4(+),0.021867628225839004,0.0036732773140565125,0.16797785640585072,-2.5736570318775915
Nfib(+),0.0018535044791626245,0.00019892491823328106,0.10732367818347614,-3.2199596904676837
Nr2f2(+),0.002308731438811515,0.00017863410757464168,0.07737327285957463,-3.6920208891924027
Hes1(+),0.035276845674109276,0.002441523264628049,0.0692103621503766,-3.85286813596194
Mycl(+),0.0014165773710367088,9.569058551731185e-05,0.0675505535199123,-3.887888598504139
H1fx(+),0.0034660626118916435,0.00017275690660506528,0.04984240792776136,-4.326482421944006
Pax5(+),0.0871517490499396,0.0037846230638125867,0.04342566965172353,-4.525308093383175
Ebf1(+),0.08885556473528602,0.0029101039912809617,0.03275094812520291,-4.932319517148185
Pbx1(+),0.0037827908587916193,9.149911341161483e-05,0.024188255927223914,-5.369549440955264
